model,folder,instance_id,source,system_messages,user_messages,assistant_messages,tool_messages,other_messages,other_roles,total_messages,api_calls,cost
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,astropy__astropy-8872,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/astropy__astropy-8872/astropy__astropy-8872.traj.json,1,1,22,27,1,"{""exit"": 1}",52,22,0.44746925000000004
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10097,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-10097/django__django-10097.traj.json,1,1,20,21,1,"{""exit"": 1}",44,20,0.5032437500000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10554,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-10554/django__django-10554.traj.json,1,1,81,105,1,"{""exit"": 1}",189,81,3.0067362499999994
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10880,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-10880/django__django-10880.traj.json,1,1,17,17,1,"{""exit"": 1}",37,17,0.25666750000000005
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10914,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-10914/django__django-10914.traj.json,1,1,14,16,1,"{""exit"": 1}",33,14,0.23708950000000004
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10973,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-10973/django__django-10973.traj.json,1,1,16,21,1,"{""exit"": 1}",40,16,0.35289799999999993
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-10999,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-10999/django__django-10999.traj.json,1,1,16,16,1,"{""exit"": 1}",35,16,0.26457800000000004
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11066,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11066/django__django-11066.traj.json,1,1,11,11,1,"{""exit"": 1}",25,11,0.13550075
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11087,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11087/django__django-11087.traj.json,1,1,44,43,1,"{""exit"": 1}",90,44,1.1720412500000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11095,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11095/django__django-11095.traj.json,1,1,16,17,1,"{""exit"": 1}",36,16,0.27924124999999994
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11099,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11099/django__django-11099.traj.json,1,1,10,10,1,"{""exit"": 1}",23,10,0.16861975
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11119,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11119/django__django-11119.traj.json,1,1,18,18,1,"{""exit"": 1}",39,18,0.3105855
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11133,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11133/django__django-11133.traj.json,1,1,24,25,1,"{""exit"": 1}",52,24,0.4375455
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11138,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11138/django__django-11138.traj.json,1,1,70,93,1,"{""exit"": 1}",166,70,2.51898325
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11141,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11141/django__django-11141.traj.json,1,1,29,30,1,"{""exit"": 1}",62,29,0.7449500000000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11149,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11149/django__django-11149.traj.json,1,1,29,30,1,"{""exit"": 1}",62,29,0.78522475
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11163,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11163/django__django-11163.traj.json,1,1,24,23,1,"{""exit"": 1}",50,24,0.33412850000000005
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11179,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11179/django__django-11179.traj.json,1,1,17,17,1,"{""exit"": 1}",37,17,0.27440025
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11206,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11206/django__django-11206.traj.json,1,1,23,23,1,"{""exit"": 1}",49,23,0.67510225
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11211,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11211/django__django-11211.traj.json,1,1,36,39,1,"{""exit"": 1}",78,36,0.78567125
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11239,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11239/django__django-11239.traj.json,1,1,19,24,1,"{""exit"": 1}",46,19,0.37520125
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11265,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11265/django__django-11265.traj.json,1,1,75,92,1,"{""exit"": 1}",170,75,3.0444769999999997
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11276,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11276/django__django-11276.traj.json,1,1,22,22,1,"{""exit"": 1}",47,22,0.362058
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11292,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11292/django__django-11292.traj.json,1,1,38,41,1,"{""exit"": 1}",82,38,0.7271829999999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11299,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11299/django__django-11299.traj.json,1,1,26,30,1,"{""exit"": 1}",59,26,0.472642
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11333,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11333/django__django-11333.traj.json,1,1,25,27,1,"{""exit"": 1}",55,25,0.4924909999999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11400,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11400/django__django-11400.traj.json,1,1,21,28,1,"{""exit"": 1}",52,21,0.490628
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11433,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11433/django__django-11433.traj.json,1,1,29,33,1,"{""exit"": 1}",65,29,0.6047502499999998
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11451,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11451/django__django-11451.traj.json,1,1,16,16,1,"{""exit"": 1}",35,16,0.3074255000000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11477,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11477/django__django-11477.traj.json,1,1,29,31,1,"{""exit"": 1}",63,29,0.56268075
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11490,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11490/django__django-11490.traj.json,1,1,48,50,1,"{""exit"": 1}",101,48,1.12946275
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11532,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11532/django__django-11532.traj.json,1,1,32,35,1,"{""exit"": 1}",70,32,0.5817630000000003
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11551,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11551/django__django-11551.traj.json,1,1,21,21,1,"{""exit"": 1}",45,21,0.47148349999999994
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11555,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11555/django__django-11555.traj.json,1,1,49,61,1,"{""exit"": 1}",113,49,1.3928155000000004
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11603,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11603/django__django-11603.traj.json,1,1,14,15,1,"{""exit"": 1}",32,14,0.2068115
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11728,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11728/django__django-11728.traj.json,1,1,25,27,1,"{""exit"": 1}",55,25,0.50969125
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11734,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11734/django__django-11734.traj.json,1,1,61,67,1,"{""exit"": 1}",131,61,3.0804792500000007
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11740,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11740/django__django-11740.traj.json,1,1,32,33,1,"{""exit"": 1}",68,32,0.7046975000000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11749,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11749/django__django-11749.traj.json,1,1,40,44,1,"{""exit"": 1}",87,40,0.8986622499999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11790,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11790/django__django-11790.traj.json,1,1,25,27,1,"{""exit"": 1}",55,25,0.43973125
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11815,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11815/django__django-11815.traj.json,1,1,21,21,1,"{""exit"": 1}",45,21,0.39185575
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11820,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11820/django__django-11820.traj.json,1,1,38,43,1,"{""exit"": 1}",84,38,0.8254580000000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11848,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11848/django__django-11848.traj.json,1,1,24,25,1,"{""exit"": 1}",52,24,0.39159425000000003
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11880,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11880/django__django-11880.traj.json,1,1,26,28,1,"{""exit"": 1}",57,26,0.4424479999999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11885,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11885/django__django-11885.traj.json,1,1,54,61,1,"{""exit"": 1}",118,54,1.252522
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11951,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11951/django__django-11951.traj.json,1,1,13,13,1,"{""exit"": 1}",29,13,0.19880175000000003
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11964,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11964/django__django-11964.traj.json,1,1,32,36,1,"{""exit"": 1}",71,32,0.7663809999999999
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-11999,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-11999/django__django-11999.traj.json,1,1,30,32,1,"{""exit"": 1}",65,30,0.5101935
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12039,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12039/django__django-12039.traj.json,1,1,26,28,1,"{""exit"": 1}",57,26,0.5866887500000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12050,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12050/django__django-12050.traj.json,1,1,22,27,1,"{""exit"": 1}",52,22,0.36204549999999996
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12125,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12125/django__django-12125.traj.json,1,1,37,40,1,"{""exit"": 1}",80,37,0.6843847500000001
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12143,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12143/django__django-12143.traj.json,1,1,16,20,1,"{""exit"": 1}",39,16,0.274693
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12155,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12155/django__django-12155.traj.json,1,1,16,16,1,"{""exit"": 1}",35,16,0.32807925000000004
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12193,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12193/django__django-12193.traj.json,1,1,25,26,1,"{""exit"": 1}",54,25,0.49013249999999997
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12209,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12209/django__django-12209.traj.json,1,1,63,66,1,"{""exit"": 1}",132,63,2.15621875
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12262,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12262/django__django-12262.traj.json,1,1,26,27,1,"{""exit"": 1}",56,26,0.49217125
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12273,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12273/django__django-12273.traj.json,1,1,41,50,1,"{""exit"": 1}",94,41,1.0936735
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12276,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12276/django__django-12276.traj.json,1,1,21,23,1,"{""exit"": 1}",47,21,0.368368
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12304,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12304/django__django-12304.traj.json,1,1,27,27,1,"{""exit"": 1}",57,27,0.43964099999999995
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12308,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12308/django__django-12308.traj.json,1,1,31,36,1,"{""exit"": 1}",70,31,0.558421
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12325,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12325/django__django-12325.traj.json,1,1,28,30,1,"{""exit"": 1}",61,28,0.5275055
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12406,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12406/django__django-12406.traj.json,1,1,48,57,1,"{""exit"": 1}",108,48,1.1666555
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12419,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12419/django__django-12419.traj.json,1,1,14,17,1,"{""exit"": 1}",34,14,0.19643275000000004
Claude 4.5 Opus high reasoning,20260217_mini-v2.0.0_claude-4-5-opus-high,django__django-12663,https://swe-bench-submissions.s3.amazonaws.com/bash-only/20260217_mini-v2.0.0_claude-4-5-opus-high/trajs/django__django-12663/django__django-12663.traj.json,1,1,73,93,1,"{""exit"": 1}",169,73,2.65580875
